"opening","total_times_used","win_count","draw_count","loss_count","total_times_used_to_total_games_percent","win_count_to_total_times_used_percent"
"Alekhine Defense: Scandinavian Variation","1","0","0","1","1.01","0.00"
"Dutch Defense: Classical Variation","1","0","0","1","1.01","0.00"
"English Opening: Anglo-Scandinavian Defense","1","0","0","1","1.01","0.00"
"English Opening: Symmetrical Variation","1","0","0","1","1.01","0.00"
"Four Knights Game: Italian Variation","1","0","0","1","1.01","0.00"
"French Defense: Advance Variation, Nimzowitsch System","1","0","1","0","1.01","0.00"
"French Defense: Chigorin Variation","1","0","0","1","1.01","0.00"
"French Defense: La Bourdonnais Variation","1","0","0","1","1.01","0.00"
"French Defense: Rubinstein Variation","1","0","0","1","1.01","0.00"
"Horwitz Defense","1","0","0","1","1.01","0.00"
"Hungarian Opening: Symmetrical Variation","1","0","0","1","1.01","0.00"
"Italian Game: Anti-Fried Liver Defense","1","0","1","0","1.01","0.00"
"Italian Game: Giuoco Pianissimo, Normal","1","0","0","1","1.01","0.00"
"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line","1","0","0","1","1.01","0.00"
"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line","1","0","0","1","1.01","0.00"
"King's Pawn Game: Maroczy Defense","1","0","0","1","1.01","0.00"
"King's Pawn Opening: 2.b3","1","0","0","1","1.01","0.00"
"Modern Defense","1","0","0","1","1.01","0.00"
"Old Indian Defense","1","0","0","1","1.01","0.00"
"Petrov's Defense","1","0","0","1","1.01","0.00"
"Philidor Defense #2","1","0","0","1","1.01","0.00"
"Pirc Defense","1","0","0","1","1.01","0.00"
"Pirc Defense: Roscher Gambit","1","0","0","1","1.01","0.00"
"Polish Opening: Dutch Defense","1","0","0","1","1.01","0.00"
"Queen's Pawn","1","0","0","1","1.01","0.00"
"Queen's Pawn Game: Stonewall Attack","1","0","0","1","1.01","0.00"
"Ruy Lopez: Classical Variation","1","0","0","1","1.01","0.00"
"Ruy Lopez: Exchange Variation","1","0","0","1","1.01","0.00"
"Ruy Lopez: Morphy Defense, Arkhangelsk Variation","1","0","0","1","1.01","0.00"
"Scandinavian Defense: Main Line","1","0","0","1","1.01","0.00"
"Scotch Game: Scotch Gambit, Kingside Variation","1","0","1","0","1.01","0.00"
"Sicilian Defense","1","0","0","1","1.01","0.00"
"Sicilian Defense: Chekhover Variation","1","0","0","1","1.01","0.00"
"Sicilian Defense: Closed","1","0","0","1","1.01","0.00"
"Sicilian Defense: Franco-Sicilian Variation","1","0","0","1","1.01","0.00"
"Sicilian Defense: Najdorf, Lipnitsky Attack","1","0","0","1","1.01","0.00"
"Sicilian Defense: Open #3","1","0","0","1","1.01","0.00"
"Three Knights Opening #2","1","0","0","1","1.01","0.00"
"Vienna Game","1","0","0","1","1.01","0.00"
"Zukertort Opening: Black Mustang Defense","1","0","0","1","1.01","0.00"
